Metadata	Feature_Name
Patient	CCND2
Patient	SET
Patient	CNTRL
Patient	PPP6C
Patient	NR4A3
Patient	CSF3R_x
Patient	KDSR
Patient	DNMT3A_x
Patient	BCL11A
Patient	CD274
Patient	KCNJ5
Patient	SPOP
Patient	CEP89
Patient	ZMYM2
Patient	PIK3CA
Patient	CXCR4
Patient	ACVR2A
Patient	FLT3_x
Patient	RPL5
Patient	PMS2
Patient	HNRNPA2B1
Patient	FKBP9
Patient	KIAA1549_x
Patient	TRIM24
Patient	CDKN2C
Patient	ATF1
Patient	STIL
Patient	ACSL3
Patient	SDC4
Patient	PLCG1
Patient	USP9X_x
Patient	HIST1H3B
Patient	CDKN1A
Patient	DEK
Patient	SEPT6
Patient	PAX8
Patient	MAX
Patient	KDM5C_x
Patient	CCR7
Patient	BCL2L12
Patient	SBDS
Patient	ZNF384
Patient	KTN1
Patient	NUP214
Patient	MAP2K2
Patient	BCL11B
Patient	PTPRB
Patient	SMARCA4
Patient	AKAP9
Patient	HIP1
Patient	KDR
Patient	DGCR8
Patient	SPECC1
Patient	POT1
Patient	SMO
Patient	KNSTRN
Patient	USP6
Patient	FOXA1
Patient	CBFA2T3
Patient	MLLT1
Patient	MNX1
Patient	CLIP1
Patient	ZNF331
Patient	LATS1
Patient	TRAF7
Patient	RARA
Patient	DNAJB1
Patient	RAF1
Patient	PPARG
Patient	H3F3B
Patient	MUTYH
Patient	CASP9
Patient	MYH11
Patient	BTG1
Patient	KRAS_x
Patient	MEN1
Patient	VHL
Patient	NOTCH2
Patient	MYCN
Patient	IL6ST
Patient	CDC73
Patient	DDB2
Patient	PDGFRA
Patient	ERCC5
Patient	APC
Patient	TBX3
Patient	LMO2
Patient	CDK4
Patient	ACVR1B
Patient	TEC
Patient	MDM2
Patient	TMEM127
Patient	USP44
Patient	LCP1
Patient	RAC1
Patient	BRIP1
Patient	KAT7
Patient	ABI1
Patient	KLF4
Patient	XPA
Patient	MYC_x
Patient	PIM1
Patient	IRF4
Patient	HMGA1
Patient	NUMA1
Patient	FBXO11
Patient	CYP2C8
Patient	NCOA4
Patient	TET1_x
Patient	ATIC
